// START_AIRPORTS
Airports = { Source BRU CPH GVA BHX BRS LGW MAN NCL GOT TXL FRA HAM MUC PRG VIE BLQ FLR MXP TRN VCE LYS MRS NCE SXB TLS Sink };
// STOP_AIRPORTS
Distance = { Short, Medium, Long };

MaxSpill = 0.3;

Fleets = { 
  BAE
  AR1
  AR8
};

fleetInfo = #[ 
  BAE: #< aircrafts: 6,    //no of aircrafts per fleet
          dist: Short,     //type of fleet
          seats: 84,      //no of seats
          refuelT:12,      //Time on ground to refuel
          a: 18000,        //fixed cost param
          b: 2>#          //variable cost param
          
  AR1: #< aircrafts: 12,
          dist: Medium,
          seats: 150,
          refuelT:12,
          a: 15000,
          b: 2># 
                  
  AR8: #< aircrafts: 14,
          dist: Long,
          seats: 200,
          refuelT:12,
          a: 14000,
          b: 2>#       

]#;

//Flights in the schedule
// for every flight:
//    id    //flight id
//    depA  //departure airport
//    depT  //departure time 
//    arrA  //arrival airport
//    arrT  //arrival time 
//    dist  //long-medium-short distance flight
//    pax   //passenger demand (no of passengers)
//    price //ticket price 
//
// E.G. < 0, ABZ, 87, AMS, 337, Medium, 137, 3000>
// START_FLIGHTLEGS
flightLegs = {
< 0, BRU, 470, BHX, 545, Short, 85, 387>
< 274, BRU, 9755, TXL, 9845, Short, 77, 759>
< 275, TXL, 345, BRU, 430, Short, 103, 503>
< 276, TXL, 1785, BRU, 1870, Short, 103, 503>
< 277, TXL, 3225, BRU, 3310, Short, 103, 503>
< 278, TXL, 4665, BRU, 4750, Short, 103, 503>
< 279, TXL, 6105, BRU, 6190, Short, 103, 503>
< 280, TXL, 7545, BRU, 7630, Short, 103, 503>
< 281, BRU, 330, FRA, 400, Short, 81, 248>
< 282, BRU, 7530, FRA, 7600, Short, 45, 294>
< 283, FRA, 435, BRU, 500, Short, 51, 234>
< 284, FRA, 1875, BRU, 1940, Short, 51, 234>
< 285, FRA, 3315, BRU, 3380, Short, 51, 234>
< 286, FRA, 4755, BRU, 4820, Short, 51, 234>
< 287, FRA, 6195, BRU, 6260, Short, 51, 234>
< 288, FRA, 7635, BRU, 7700, Short, 80, 286>
< 289, BRU, 995, FRA, 1060, Short, 67, 277>
< 290, BRU, 2415, FRA, 2480, Short, 51, 285>
< 291, BRU, 5295, FRA, 5360, Short, 51, 285>
< 292, BRU, 3865, FRA, 3930, Short, 65, 355>
< 293, BRU, 6745, FRA, 6810, Short, 65, 355>
< 294, FRA, 1095, BRU, 1160, Short, 60, 322>
< 295, FRA, 2535, BRU, 2600, Short, 60, 322>
< 296, FRA, 3975, BRU, 4040, Short, 60, 322>
< 297, FRA, 5415, BRU, 5480, Short, 60, 322>
< 298, FRA, 6855, BRU, 6920, Short, 60, 322>
< 299, BRU, 470, HAM, 545, Short, 100, 447>
< 300, BRU, 1910, HAM, 1985, Short, 100, 447>
< 301, BRU, 3350, HAM, 3425, Short, 100, 447>
< 302, BRU, 4790, HAM, 4865, Short, 100, 447>
< 303, BRU, 6230, HAM, 6305, Short, 102, 389>
< 304, HAM, 575, BRU, 645, Short, 47, 489>
< 305, HAM, 2015, BRU, 2085, Short, 47, 489>
< 306, HAM, 3455, BRU, 3525, Short, 47, 489>
< 307, HAM, 4895, BRU, 4965, Short, 47, 489>
< 308, HAM, 6335, BRU, 6405, Short, 44, 560>
< 309, BRU, 940, HAM, 1015, Short, 49, 596>
< 310, BRU, 2380, HAM, 2455, Short, 49, 596>
< 311, BRU, 3820, HAM, 3895, Short, 49, 596>
< 312, BRU, 5260, HAM, 5335, Short, 49, 596>
< 313, BRU, 6700, HAM, 6775, Short, 49, 596>
< 314, BRU, 9580, HAM, 9655, Short, 49, 596>
< 315, HAM, 1045, BRU, 1120, Short, 108, 410>
< 316, HAM, 2485, BRU, 2560, Short, 108, 410>
< 317, HAM, 3925, BRU, 4000, Short, 108, 410>
< 318, HAM, 5365, BRU, 5440, Short, 108, 410>
< 319, HAM, 6805, BRU, 6880, Short, 108, 410>
< 320, HAM, 9685, BRU, 9760, Short, 108, 410>
< 321, BRU, 1115, HAM, 1190, Short, 32, 601>
< 322, BRU, 2555, HAM, 2630, Short, 32, 601>
< 323, BRU, 3995, HAM, 4070, Short, 32, 601>
< 324, BRU, 5435, HAM, 5510, Short, 32, 601>
< 325, BRU, 6875, HAM, 6950, Short, 32, 601>
< 326, BRU, 9755, HAM, 9830, Short, 32, 601>
< 327, HAM, 345, BRU, 420, Short, 78, 365>
< 328, HAM, 1785, BRU, 1860, Short, 78, 365>
< 329, HAM, 3225, BRU, 3300, Short, 78, 365>
< 330, HAM, 4665, BRU, 4740, Short, 78, 365>
< 331, HAM, 6105, BRU, 6180, Short, 78, 365>
< 332, HAM, 7600, BRU, 7675, Short, 63, 428>
< 333, BRU, 365, MUC, 455, Short, 95, 501>
< 334, BRU, 1805, MUC, 1895, Short, 40, 603>
< 335, BRU, 3245, MUC, 3335, Short, 102, 686>
< 336, BRU, 4685, MUC, 4775, Short, 102, 686>
< 337, BRU, 6125, MUC, 6215, Short, 102, 686>
< 338, MUC, 490, BRU, 585, Short, 107, 489>
< 339, MUC, 1930, BRU, 2025, Short, 46, 627>
< 340, MUC, 3370, BRU, 3465, Short, 105, 742>
< 341, MUC, 4810, BRU, 4905, Short, 105, 742>
< 342, MUC, 6250, BRU, 6345, Short, 105, 742>
< 343, BRU, 9555, MUC, 9640, Short, 56, 662>
< 344, BRU, 915, MUC, 1000, Short, 105, 568>
< 345, BRU, 2355, MUC, 2440, Short, 105, 568>
< 346, BRU, 3795, MUC, 3880, Short, 105, 568>
< 347, BRU, 5235, MUC, 5320, Short, 105, 568>
< 348, BRU, 6675, MUC, 6760, Short, 105, 568>
< 349, MUC, 9680, BRU, 9770, Short, 87, 693>
< 350, MUC, 1040, BRU, 1130, Short, 97, 496>
< 351, MUC, 2480, BRU, 2570, Short, 97, 496>
< 352, MUC, 3920, BRU, 4010, Short, 97, 496>
< 353, MUC, 5360, BRU, 5450, Short, 97, 496>
< 354, MUC, 6800, BRU, 6890, Short, 97, 496>
< 355, BRU, 1160, MUC, 1245, Short, 86, 578>
< 356, BRU, 2600, MUC, 2685, Short, 86, 578>
< 357, BRU, 4040, MUC, 4125, Short, 86, 578>
< 358, BRU, 5480, MUC, 5565, Short, 86, 578>
< 359, BRU, 6920, MUC, 7005, Short, 86, 578>
< 360, BRU, 9800, MUC, 9885, Short, 86, 578>
< 361, MUC, 370, BRU, 465, Short, 76, 522>
< 362, MUC, 1810, BRU, 1905, Short, 76, 522>
< 363, MUC, 3250, BRU, 3345, Short, 76, 522>
< 364, MUC, 4690, BRU, 4785, Short, 76, 522>
< 365, MUC, 6130, BRU, 6225, Short, 76, 522>
< 366, MUC, 7580, BRU, 7675, Short, 62, 470>
< 367, BRU, 330, GVA, 410, Short, 49, 523>
< 368, BRU, 1770, GVA, 1850, Short, 49, 523>
< 369, BRU, 3210, GVA, 3290, Short, 49, 523>
< 370, BRU, 4650, GVA, 4730, Short, 49, 523>
< 371, BRU, 6090, GVA, 6170, Short, 49, 523>
< 372, BRU, 7530, GVA, 7610, Short, 49, 523>
< 373, GVA, 440, BRU, 520, Short, 104, 647>
< 374, GVA, 1880, BRU, 1960, Short, 104, 647>
< 375, GVA, 3320, BRU, 3400, Short, 104, 647>
< 376, GVA, 4760, BRU, 4840, Short, 104, 647>
< 377, GVA, 6200, BRU, 6280, Short, 104, 647>
< 378, GVA, 7640, BRU, 7720, Short, 104, 647>
< 379, BRU, 9070, GVA, 9150, Short, 33, 597>
< 380, BRU, 430, GVA, 510, Short, 69, 526>
< 381, BRU, 1870, GVA, 1950, Short, 51, 561>
< 382, BRU, 7800, GVA, 7880, Short, 64, 620>
< 383, GVA, 9180, BRU, 9260, Short, 53, 609>
< 384, GVA, 540, BRU, 620, Short, 49, 542>
< 385, GVA, 1980, BRU, 2060, Short, 55, 533>
< 386, GVA, 3420, BRU, 3500, Short, 71, 598>
< 387, GVA, 6300, BRU, 6380, Short, 71, 598>
< 388, GVA, 7910, BRU, 7990, Short, 107, 401>
< 389, BRU, 9225, GVA, 9305, Short, 60, 561>
< 390, BRU, 590, GVA, 670, Short, 53, 420>
< 391, BRU, 6350, GVA, 6430, Short, 49, 474>
< 392, GVA, 9335, BRU, 9415, Short, 35, 662>
< 393, GVA, 700, BRU, 780, Short, 52, 581>
< 394, GVA, 6460, BRU, 6540, Short, 37, 645>
< 395, BRU, 895, GVA, 975, Short, 82, 451>
< 396, BRU, 5215, GVA, 5295, Short, 82, 451>
< 397, BRU, 2335, GVA, 2415, Short, 86, 513>
< 398, BRU, 6655, GVA, 6735, Short, 86, 513>
< 399, BRU, 9535, GVA, 9615, Short, 86, 513>
< 400, BRU, 3775, GVA, 3855, Short, 46, 655>
< 401, GVA, 1015, BRU, 1095, Short, 30, 401>
< 402, GVA, 2455, BRU, 2535, Short, 64, 455>
< 403, GVA, 6775, BRU, 6855, Short, 64, 455>
< 404, GVA, 9655, BRU, 9735, Short, 64, 455>
< 405, GVA, 3895, BRU, 3975, Short, 104, 430>
< 406, GVA, 5335, BRU, 5415, Short, 101, 627>
< 407, BRU, 1030, GVA, 1110, Short, 81, 526>
< 408, BRU, 3910, GVA, 3990, Short, 102, 567>
< 409, BRU, 5350, GVA, 5430, Short, 102, 567>
< 410, BRU, 8170, GVA, 8250, Short, 61, 478>
< 411, BRU, 9670, GVA, 9750, Short, 78, 647>
< 412, GVA, 1145, BRU, 1225, Short, 77, 416>
< 413, GVA, 4025, BRU, 4105, Short, 46, 632>
< 414, GVA, 5465, BRU, 5545, Short, 46, 632>
< 415, GVA, 8290, BRU, 8370, Short, 46, 402>
< 416, GVA, 9785, BRU, 9865, Short, 45, 551>
< 417, BRU, 1135, GVA, 1215, Short, 41, 470>
< 418, BRU, 2575, GVA, 2655, Short, 94, 427>
< 419, BRU, 6895, GVA, 6975, Short, 94, 427>
< 420, BRU, 9775, GVA, 9855, Short, 94, 427>
< 421, BRU, 4015, GVA, 4095, Short, 34, 450>
< 422, BRU, 5455, GVA, 5535, Short, 84, 445>
< 423, GVA, 350, BRU, 430, Short, 78, 598>
< 424, GVA, 1790, BRU, 1870, Short, 56, 451>
< 425, GVA, 4670, BRU, 4750, Short, 54, 541>
< 426, GVA, 6110, BRU, 6190, Short, 87, 535>
< 427, GVA, 8990, BRU, 9070, Short, 87, 535>
< 428, BRU, 9390, GVA, 9470, Short, 64, 633>
